text,username,location,len
RT @RoseUnwin: Coronavirus tests denied to people with learning disabilities despite 175% rise in their deaths https://t.co/cMf0fR082n,rebeccagatward,London,134
"RT @TurkishMinuteTM: Turkey’s coronavirus cases exceed 150,000, death toll at 4,171 https://t.co/AQUyWjal8E",PRANGELMARMOL,España,107
RT @AngrierWHStaff: Who could have imagined that the states who opened early are now seeing record single-day coronavirus increases? 🤦‍♂️,blessed9forever,"El Paso, TX",137
"Online events are now common, which can help some autistic people, but video chat may be challenging for others. Text chat can be a useful alternative. 
Researcher and community member, Karen Leneh Buckle shared her experience running text chat meetings. 
https://t.co/VJC2UfBI4T",Autistica,UK,279
Coronavirus Florida: Public meetings to resume for Town of Palm Beach https://t.co/Lqmj09QSAm,pbpost,"West Palm Beach, FL",93
"RT @etherealpogues: coronavirus can't kill me because i died when i watched this scene 
#OuterBanks 
 https://t.co/MbWzFbRkrv",lovclymaybank,United States,125
"Virtual parliament was a complete success, so of course it must be ended at once | Tom Peck https://t.co/WOJfJxpIIg",McClumsy84,"Leeds, England",115
RT @97thmonkey: Workplace safety inspections promised by Boris Johnson 'don't exist' https://t.co/BEAbLv1gkP,catnip25,in the windmills of my mind,108
RT @washingtonpost: Opinion: Trump is using the coronavirus as a cover to abuse his authority https://t.co/BM331nIelg,Doerpstroot,Deutschland,117
@CGTNOfficial #Hubei measures the culture and traavel industry #coronavirus 🇨🇳,Isabel21294528,Gijon - Asturias,78
"International #airtravel is starting to creep back, complete with patchy network of destinations, virus tests and quarantines:
https://t.co/TwyqU08YC1
#Aviation #Airlines #Airports #COVID19 #Coronavirus",aeromobix,Kolkata India,202
"Trump says that he has been taking #hydroxychloroquine, an antimalarial drug the #FDA warned could cause serious heart problems for coronavirus patients. He is taking the drug as a preventive measure and continued to test negative for the #coronavirus. https://t.co/8r9m9uYYXh",QmAn_2005,Global,276
Brilliant video. Happily #Finland hasn't skated across thin ice without due attention to the cracks in its #coronavirus strategy https://t.co/4D5iqZfQCZ,MarkofDartmoor,Dartmoor,152
"Wow there's a lot of rich people caring about poor people all of a sudden...

Almost as if they want us to go back to work because they're seeing their wealth dissipate. 

#lockdown2020 #coronavirus #Covid19UK",DaveOfYork,"England, United Kingdom",209
Commentary: Past pandemics changed the design of cities. Six ways COVID-19 could do the same https://t.co/EdJWLMXdtB,MaoiliosaRey,Ireland,116
"RT @MiamiHerald: Florida’s COVID-19 website guru blasts bosses, hints at data suppression. https://t.co/16sva7VeW0",Karenknowsbest,England,114
Australia and China spat over coronavirus inquiry deepens https://t.co/2dfTxGdWWE,hamsoon,Qatar,81
